"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Rendimento médio"
"Brasil e Unidade da Federação";"Mês x Produto das lavouras"
"Brasil e Unidade da Federação";"janeiro 2023";;;;;;;;;;;;;;;;;;;;;;"fevereiro 2023";;;;;;;;;;;;;;;;;;;;;;"março 2023";;;;;;;;;;;;;;;;;;;;;;"abril 2023";;;;;;;;;;;;;;;;;;;;;;"maio 2023";;;;;;;;;;;;;;;;;;;;;;"junho 2023";;;;;;;;;;;;;;;;;;;;;;"julho 2023";;;;;;;;;;;;;;;;;;;;;;"agosto 2023";;;;;;;;;;;;;;;;;;;;;;"setembro 2023";;;;;;;;;;;;;;;;;;;;;;"outubro 2023";;;;;;;;;;;;;;;;;;;;;;"novembro 2023";;;;;;;;;;;;;;;;;;;;;;"dezembro 2023"
"Brasil e Unidade da Federação";"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca";;"1.1 Algodão herbáceo";;"1.4 Arroz";;"1.13 Milho (1ª Safra)";;"1.14 Milho (2ª Safra)";;"1.15 Soja";;"1.17 Trigo";;"4 Banana";;"9 Café arábica";;"11 Cana-de-açúcar";;"18 Laranja";;"21 Mandioca"
"Brasil";"4161";"Quilogramas por Hectare";"6628";"Quilogramas por Hectare";"5499";"Quilogramas por Hectare";"5565";"Quilogramas por Hectare";"3449";"Quilogramas por Hectare";"2842";"Quilogramas por Hectare";"15212";"Quilogramas por Hectare";"1511";"Quilogramas por Hectare";"71965";"Quilogramas por Hectare";"28969";"Quilogramas por Hectare";"14739";"Quilogramas por Hectare";"4161";"Quilogramas por Hectare";"6556";"Quilogramas por Hectare";"5367";"Quilogramas por Hectare";"5541";"Quilogramas por Hectare";"3385";"Quilogramas por Hectare";"2837";"Quilogramas por Hectare";"15217";"Quilogramas por Hectare";"1511";"Quilogramas por Hectare";"71755";"Quilogramas por Hectare";"28988";"Quilogramas por Hectare";"14744";"Quilogramas por Hectare";"4198";"Quilogramas por Hectare";"6490";"Quilogramas por Hectare";"5221";"Quilogramas por Hectare";"5540";"Quilogramas por Hectare";"3416";"Quilogramas por Hectare";"3037";"Quilogramas por Hectare";"15217";"Quilogramas por Hectare";"1507";"Quilogramas por Hectare";"71697";"Quilogramas por Hectare";"28971";"Quilogramas por Hectare";"14757";"Quilogramas por Hectare";"4200";"Quilogramas por Hectare";"6514";"Quilogramas por Hectare";"5275";"Quilogramas por Hectare";"5563";"Quilogramas por Hectare";"3441";"Quilogramas por Hectare";"3039";"Quilogramas por Hectare";"15236";"Quilogramas por Hectare";"1510";"Quilogramas por Hectare";"74389";"Quilogramas por Hectare";"25639";"Quilogramas por Hectare";"14822";"Quilogramas por Hectare";"4228";"Quilogramas por Hectare";"6571";"Quilogramas por Hectare";"5261";"Quilogramas por Hectare";"5728";"Quilogramas por Hectare";"3415";"Quilogramas por Hectare";"3206";"Quilogramas por Hectare";"15088";"Quilogramas por Hectare";"1530";"Quilogramas por Hectare";"74360";"Quilogramas por Hectare";"25638";"Quilogramas por Hectare";"14856";"Quilogramas por Hectare";"4226";"Quilogramas por Hectare";"6565";"Quilogramas por Hectare";"5261";"Quilogramas por Hectare";"5762";"Quilogramas por Hectare";"3412";"Quilogramas por Hectare";"3202";"Quilogramas por Hectare";"15087";"Quilogramas por Hectare";"1528";"Quilogramas por Hectare";"74193";"Quilogramas por Hectare";"25714";"Quilogramas por Hectare";"14929";"Quilogramas por Hectare";"4335";"Quilogramas por Hectare";"6620";"Quilogramas por Hectare";"5295";"Quilogramas por Hectare";"5808";"Quilogramas por Hectare";"3414";"Quilogramas por Hectare";"3226";"Quilogramas por Hectare";"15194";"Quilogramas por Hectare";"1527";"Quilogramas por Hectare";"74367";"Quilogramas por Hectare";"25756";"Quilogramas por Hectare";"14999";"Quilogramas por Hectare";"4335";"Quilogramas por Hectare";"6677";"Quilogramas por Hectare";"5328";"Quilogramas por Hectare";"5905";"Quilogramas por Hectare";"3431";"Quilogramas por Hectare";"3189";"Quilogramas por Hectare";"15269";"Quilogramas por Hectare";"1527";"Quilogramas por Hectare";"74718";"Quilogramas por Hectare";"25848";"Quilogramas por Hectare";"14927";"Quilogramas por Hectare";"4394";"Quilogramas por Hectare";"6740";"Quilogramas por Hectare";"5318";"Quilogramas por Hectare";"6088";"Quilogramas por Hectare";"3438";"Quilogramas por Hectare";"3092";"Quilogramas por Hectare";"15317";"Quilogramas por Hectare";"1555";"Quilogramas por Hectare";"77825";"Quilogramas por Hectare";"26916";"Quilogramas por Hectare";"15069";"Quilogramas por Hectare";"4399";"Quilogramas por Hectare";"6850";"Quilogramas por Hectare";"5317";"Quilogramas por Hectare";"6092";"Quilogramas por Hectare";"3436";"Quilogramas por Hectare";"2681";"Quilogramas por Hectare";"15254";"Quilogramas por Hectare";"1555";"Quilogramas por Hectare";"78245";"Quilogramas por Hectare";"26921";"Quilogramas por Hectare";"15266";"Quilogramas por Hectare";"4437";"Quilogramas por Hectare";"6874";"Quilogramas por Hectare";"5360";"Quilogramas por Hectare";"6090";"Quilogramas por Hectare";"3435";"Quilogramas por Hectare";"2607";"Quilogramas por Hectare";"15163";"Quilogramas por Hectare";"1549";"Quilogramas por Hectare";"78342";"Quilogramas por Hectare";"26977";"Quilogramas por Hectare";"15472";"Quilogramas por Hectare";"4430";"Quilogramas por Hectare";"6939";"Quilogramas por Hectare";"5362";"Quilogramas por Hectare";"6104";"Quilogramas por Hectare";"3437";"Quilogramas por Hectare";"2288";"Quilogramas por Hectare";"15092";"Quilogramas por Hectare";"1571";"Quilogramas por Hectare";"79505";"Quilogramas por Hectare";"26966";"Quilogramas por Hectare";"15480";"Quilogramas por Hectare"
"Rondônia";"-";"Quilogramas por Hectare";"2974";"Quilogramas por Hectare";"3392";"Quilogramas por Hectare";"4644";"Quilogramas por Hectare";"3589";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"11618";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"39301";"Quilogramas por Hectare";"11772";"Quilogramas por Hectare";"21722";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2974";"Quilogramas por Hectare";"3392";"Quilogramas por Hectare";"4644";"Quilogramas por Hectare";"3589";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"11618";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"39301";"Quilogramas por Hectare";"11772";"Quilogramas por Hectare";"21722";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2974";"Quilogramas por Hectare";"3483";"Quilogramas por Hectare";"4470";"Quilogramas por Hectare";"3643";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"11544";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"37620";"Quilogramas por Hectare";"12668";"Quilogramas por Hectare";"21720";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3009";"Quilogramas por Hectare";"3295";"Quilogramas por Hectare";"4821";"Quilogramas por Hectare";"3611";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"11596";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"36927";"Quilogramas por Hectare";"12454";"Quilogramas por Hectare";"21898";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3027";"Quilogramas por Hectare";"3578";"Quilogramas por Hectare";"4891";"Quilogramas por Hectare";"3662";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"11431";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"44118";"Quilogramas por Hectare";"12454";"Quilogramas por Hectare";"21898";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3029";"Quilogramas por Hectare";"3565";"Quilogramas por Hectare";"4891";"Quilogramas por Hectare";"3670";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"11461";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"37601";"Quilogramas por Hectare";"13135";"Quilogramas por Hectare";"21637";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3029";"Quilogramas por Hectare";"3561";"Quilogramas por Hectare";"4891";"Quilogramas por Hectare";"3593";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"11461";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"37601";"Quilogramas por Hectare";"13135";"Quilogramas por Hectare";"21646";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3030";"Quilogramas por Hectare";"3567";"Quilogramas por Hectare";"4859";"Quilogramas por Hectare";"3596";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10757";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"37601";"Quilogramas por Hectare";"12913";"Quilogramas por Hectare";"21893";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3027";"Quilogramas por Hectare";"3645";"Quilogramas por Hectare";"4860";"Quilogramas por Hectare";"3611";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"11402";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"38344";"Quilogramas por Hectare";"11565";"Quilogramas por Hectare";"21162";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3027";"Quilogramas por Hectare";"3645";"Quilogramas por Hectare";"4860";"Quilogramas por Hectare";"3613";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"11402";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"38344";"Quilogramas por Hectare";"12255";"Quilogramas por Hectare";"21162";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3163";"Quilogramas por Hectare";"3647";"Quilogramas por Hectare";"4844";"Quilogramas por Hectare";"3604";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"11402";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"38344";"Quilogramas por Hectare";"12609";"Quilogramas por Hectare";"21008";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3164";"Quilogramas por Hectare";"3647";"Quilogramas por Hectare";"4859";"Quilogramas por Hectare";"3617";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"11402";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"36898";"Quilogramas por Hectare";"12609";"Quilogramas por Hectare";"21008";"Quilogramas por Hectare"
"Acre";"-";"Quilogramas por Hectare";"1279";"Quilogramas por Hectare";"2895";"Quilogramas por Hectare";"4237";"Quilogramas por Hectare";"3348";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12827";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26538";"Quilogramas por Hectare";"14452";"Quilogramas por Hectare";"23301";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"1279";"Quilogramas por Hectare";"2895";"Quilogramas por Hectare";"4237";"Quilogramas por Hectare";"3348";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12827";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26538";"Quilogramas por Hectare";"14452";"Quilogramas por Hectare";"23301";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"1279";"Quilogramas por Hectare";"2895";"Quilogramas por Hectare";"4237";"Quilogramas por Hectare";"3348";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12827";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26538";"Quilogramas por Hectare";"14452";"Quilogramas por Hectare";"23301";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"1279";"Quilogramas por Hectare";"2895";"Quilogramas por Hectare";"4237";"Quilogramas por Hectare";"3348";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12827";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26538";"Quilogramas por Hectare";"14452";"Quilogramas por Hectare";"23301";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"1183";"Quilogramas por Hectare";"2860";"Quilogramas por Hectare";"4237";"Quilogramas por Hectare";"3687";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12832";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26538";"Quilogramas por Hectare";"14452";"Quilogramas por Hectare";"23292";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"1183";"Quilogramas por Hectare";"2860";"Quilogramas por Hectare";"4237";"Quilogramas por Hectare";"3687";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12832";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26538";"Quilogramas por Hectare";"14452";"Quilogramas por Hectare";"23292";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"1203";"Quilogramas por Hectare";"3012";"Quilogramas por Hectare";"4454";"Quilogramas por Hectare";"3808";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12832";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26538";"Quilogramas por Hectare";"14452";"Quilogramas por Hectare";"23292";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"1203";"Quilogramas por Hectare";"3012";"Quilogramas por Hectare";"4473";"Quilogramas por Hectare";"3808";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12860";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26449";"Quilogramas por Hectare";"14203";"Quilogramas por Hectare";"23292";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"1203";"Quilogramas por Hectare";"3012";"Quilogramas por Hectare";"4473";"Quilogramas por Hectare";"3808";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12860";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26449";"Quilogramas por Hectare";"14203";"Quilogramas por Hectare";"23292";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"1203";"Quilogramas por Hectare";"3012";"Quilogramas por Hectare";"4473";"Quilogramas por Hectare";"3808";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12860";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26449";"Quilogramas por Hectare";"14203";"Quilogramas por Hectare";"23292";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"1203";"Quilogramas por Hectare";"3012";"Quilogramas por Hectare";"4473";"Quilogramas por Hectare";"3808";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12860";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26449";"Quilogramas por Hectare";"14203";"Quilogramas por Hectare";"23292";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"1203";"Quilogramas por Hectare";"3023";"Quilogramas por Hectare";"4473";"Quilogramas por Hectare";"3808";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12685";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"26311";"Quilogramas por Hectare";"13791";"Quilogramas por Hectare";"23164";"Quilogramas por Hectare"
"Amazonas";"-";"Quilogramas por Hectare";"2011";"Quilogramas por Hectare";"2505";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"14628";"Quilogramas por Hectare";"918";"Quilogramas por Hectare";"58005";"Quilogramas por Hectare";"21377";"Quilogramas por Hectare";"9821";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2011";"Quilogramas por Hectare";"2505";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"14628";"Quilogramas por Hectare";"918";"Quilogramas por Hectare";"58005";"Quilogramas por Hectare";"21377";"Quilogramas por Hectare";"9821";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2011";"Quilogramas por Hectare";"2505";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"14628";"Quilogramas por Hectare";"918";"Quilogramas por Hectare";"58005";"Quilogramas por Hectare";"21377";"Quilogramas por Hectare";"9821";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2011";"Quilogramas por Hectare";"2505";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"14628";"Quilogramas por Hectare";"918";"Quilogramas por Hectare";"58005";"Quilogramas por Hectare";"21377";"Quilogramas por Hectare";"9821";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2011";"Quilogramas por Hectare";"2505";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"14628";"Quilogramas por Hectare";"918";"Quilogramas por Hectare";"58005";"Quilogramas por Hectare";"21377";"Quilogramas por Hectare";"9821";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2011";"Quilogramas por Hectare";"2505";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"14628";"Quilogramas por Hectare";"918";"Quilogramas por Hectare";"58005";"Quilogramas por Hectare";"21377";"Quilogramas por Hectare";"9821";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2011";"Quilogramas por Hectare";"2505";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"14628";"Quilogramas por Hectare";"918";"Quilogramas por Hectare";"58005";"Quilogramas por Hectare";"21377";"Quilogramas por Hectare";"9821";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2006";"Quilogramas por Hectare";"2505";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"14628";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"58005";"Quilogramas por Hectare";"21377";"Quilogramas por Hectare";"9821";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2011";"Quilogramas por Hectare";"2505";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"14628";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"58005";"Quilogramas por Hectare";"21377";"Quilogramas por Hectare";"9821";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2010";"Quilogramas por Hectare";"2400";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12471";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"58039";"Quilogramas por Hectare";"18000";"Quilogramas por Hectare";"11195";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2010";"Quilogramas por Hectare";"2400";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12471";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"58039";"Quilogramas por Hectare";"18000";"Quilogramas por Hectare";"11195";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"2010";"Quilogramas por Hectare";"2400";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"12471";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"58039";"Quilogramas por Hectare";"18000";"Quilogramas por Hectare";"11195";"Quilogramas por Hectare"
"Roraima";"3285";"Quilogramas por Hectare";"6341";"Quilogramas por Hectare";"2929";"Quilogramas por Hectare";"6110";"Quilogramas por Hectare";"2179";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10718";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"13902";"Quilogramas por Hectare";"11794";"Quilogramas por Hectare";"22037";"Quilogramas por Hectare";"3285";"Quilogramas por Hectare";"6341";"Quilogramas por Hectare";"2929";"Quilogramas por Hectare";"6110";"Quilogramas por Hectare";"2179";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10718";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"13902";"Quilogramas por Hectare";"11794";"Quilogramas por Hectare";"22037";"Quilogramas por Hectare";"3285";"Quilogramas por Hectare";"6341";"Quilogramas por Hectare";"2929";"Quilogramas por Hectare";"6110";"Quilogramas por Hectare";"2179";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10718";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"13902";"Quilogramas por Hectare";"11794";"Quilogramas por Hectare";"22037";"Quilogramas por Hectare";"3285";"Quilogramas por Hectare";"6341";"Quilogramas por Hectare";"2929";"Quilogramas por Hectare";"6110";"Quilogramas por Hectare";"2179";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10718";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"13902";"Quilogramas por Hectare";"11794";"Quilogramas por Hectare";"22037";"Quilogramas por Hectare";"3285";"Quilogramas por Hectare";"6341";"Quilogramas por Hectare";"2929";"Quilogramas por Hectare";"6110";"Quilogramas por Hectare";"2179";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10718";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"13902";"Quilogramas por Hectare";"11794";"Quilogramas por Hectare";"22037";"Quilogramas por Hectare";"3285";"Quilogramas por Hectare";"6341";"Quilogramas por Hectare";"2929";"Quilogramas por Hectare";"6110";"Quilogramas por Hectare";"2179";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10718";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"13902";"Quilogramas por Hectare";"11794";"Quilogramas por Hectare";"22037";"Quilogramas por Hectare";"3285";"Quilogramas por Hectare";"6341";"Quilogramas por Hectare";"2929";"Quilogramas por Hectare";"6110";"Quilogramas por Hectare";"2179";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10718";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"13902";"Quilogramas por Hectare";"11794";"Quilogramas por Hectare";"22037";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"7352";"Quilogramas por Hectare";"6275";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3600";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10724";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"17256";"Quilogramas por Hectare";"15562";"Quilogramas por Hectare";"12452";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"7352";"Quilogramas por Hectare";"6275";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3600";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10724";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"17256";"Quilogramas por Hectare";"15562";"Quilogramas por Hectare";"12452";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"7352";"Quilogramas por Hectare";"6275";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3600";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10724";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"17256";"Quilogramas por Hectare";"15562";"Quilogramas por Hectare";"12452";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"7352";"Quilogramas por Hectare";"6275";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3600";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10724";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"17256";"Quilogramas por Hectare";"15562";"Quilogramas por Hectare";"12452";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"7352";"Quilogramas por Hectare";"6275";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"3600";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"10724";"Quilogramas por Hectare";"-";"Quilogramas por Hectare";"17256";"Quilogramas por Hectare";"15562";"Quilogramas por Hectare";"12452";"Quilogramas por Hectare"
